tag,year,cik,start,end,val,accn,url
Revenues,2019,1013871,2019-01-01,2019-12-31,9821000000,0001013871-22-000010,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1014473,2019-01-01,2019-12-31,1231661000,0001014473-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1020569,2019-01-01,2019-12-31,4262584000,0001020569-22-000169,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1022671,2019-01-01,2019-12-31,10464991000,0001558370-22-002377,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1031296,2019-01-01,2019-12-31,11035000000,0001031296-22-000013,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1032208,2019-01-01,2019-12-31,10829000000,0001032208-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1034054,2019-01-01,2019-12-31,2014645000,0001034054-22-000002,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1035983,2019-01-01,2019-12-31,2615277000,0001558370-22-001753,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1037038,2019-03-31,2020-03-28,6159800000,0001037038-22-000014,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1037540,2019-01-01,2019-12-31,2960562000,0001656423-22-000013,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1037646,2019-01-01,2019-12-31,3008652000,0001037646-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1039684,2019-01-01,2019-12-31,10164367000,0001039684-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1041061,2019-01-01,2019-12-31,5597000000,0001041061-22-000009,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
