case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
HQ-2020-5012,2020,Danaher Corporation,0000313616,name,1,48215.0,48215.0
02-2024-3353,2024,United Parcel Service,0001090727,name,1,48000.0,48000.0
04-2023-2111,2023,THE SHERWIN-WILLIAMS COMPANY,0000089800,name,1,47500.0,47500.0
06-2020-3329,2020,Tyson Poultry Inc.,0000100493,subsidiary,1,47357.0,47357.0
06-2021-3311,2021,"Valero Refining-Meraux, LLC",0001035002,subsidiary,1,47357.0,47357.0
01-2016-7009,2016,EVERSOURCE ENERGY,0000072741,name,1,47000.0,47000.0
HQ-2024-5012,2025,Pacific Gas and Electric Company,0001004980,subsidiary,1,45273.0,45273.0
02-2019-4202,2019,"Arconic, Inc.",0000004281,name,1,45000.0,45000.0
04-2018-4008,2018,OCCIDENTAL CHEMICAL CORPORATION,0000797468,subsidiary,1,42500.0,42500.0
EF-2017-8367,2017,Marathon Petroleum Company LP,0001510295,name,1,42165.0,42165.0
04-2022-0212,2022,"MCLANE FOODSERVICE, INC",0001067983,subsidiary,1,42037.0,42037.0
06-2018-3335,2018,Phillips 66 Co.,0001534701,name,1,41000.0,41000.0
07-2025-0208,2025,Textron Aviation Inc.,0000217346,subsidiary,1,40514.0,40514.0
05-2025-0300,2024,DTE Electric,0000936340,subsidiary,1,40489.65,40489.65
06-2021-3323,2021,General Mills Operations LLC,0000040704,subsidiary,1,40000.0,40000.0
06-2021-3371,2021,"Valero Refining-Texas, L.P.",0001035002,subsidiary,1,40000.0,40000.0
10-2016-0038,2016,Waste Management of Washington Inc,0000823768,subsidiary,1,39600.0,39600.0
08-2019-0001,2018,Kinder Morgan,0001506307,name,1,39300.0,39300.0
09-2016-5007,2016,Southern California Edison,0000827052,subsidiary,1,39127.0,39127.0
03-2019-0119,2019,WHITFORD CORPORATION,0000079879,subsidiary,1,39000.0,39000.0
06-2021-3302,2020,Dow Chemical Company,0001751788,subsidiary,1,38500.0,38500.0
06-2020-3352,2020,"Air Products and Chemicals, Inc.",0000002969,name,1,38000.0,38000.0
06-2020-3335,2020,Honeywell International,0000773840,name,1,37886.0,37886.0
06-2016-3420,2016,"Equistar Chemicals, LP",0001489393,subsidiary,1,37500.0,37500.0
06-2022-3374,2022,Union Carbide Corporation,0001751788,subsidiary,1,36250.0,36250.0
07-2019-0229,2023,WILLIAMS COMPANIES INC,0000107263,name,9,311850.0,34650.0
10-2021-0204,2021,"EcoLab, Inc.",0000031462,name,1,34407.0,34407.0
05-2018-7444,2017,Pharmacia and Upjohn Company LLC,0000078003,subsidiary,1,34170.0,34170.0
06-2018-0913,2018,Tractor Supply Company,0000916365,name,1,33900.0,33900.0
06-2018-0502,2018,W & W AFCO Steel,0001067983,subsidiary,1,32765.0,32765.0
09-2023-5007,2022,Keysight Technologies,0001601046,name,1,32000.0,32000.0
04-2023-2101,2023,"BECKMAN COULTER, INC.",0000313616,subsidiary,1,31766.0,31766.0
04-2021-0205,2021,"WAL-MART STORES, INC",0000104169,name,1,31151.0,31151.0
09-2019-0029,2019,"Tesla, Inc.",0001318605,name,1,31000.0,31000.0
04-2024-4003,2024,"JANSSEN PHARMACEUTICALS, INC.",0000200406,subsidiary,1,30400.0,30400.0
07-2017-0071,2017,"RELCO LOCOMOTIVES, INC",0000943452,subsidiary,1,30000.0,30000.0
02-2023-9101,2022,PSEG Power LLC,0000788784,subsidiary,1,28988.0,28988.0
HQ-2015-8001,2016,"Comcast Cable Communications, LLC",0001166691,subsidiary,1,28782.0,28782.0
04-2015-8008,2016,KROGER LIMITED PARTNERSHIP II,0000056873,subsidiary,2,57400.0,28700.0
07-2018-0207,2018,WASTE MANAGEMENT OF NEBRASKA,0000823768,subsidiary,1,27500.0,27500.0
04-2021-0716,2021,ECOLAB INC,0000031462,name,1,27100.0,27100.0
02-2018-2004,2018,Corning Incorporated,0000024741,name,1,26500.0,26500.0
02-2020-9101,2020,Cycle Chem Incorporated,0001060391,subsidiary,1,25970.0,25970.0
03-2024-0049,2024,"LEACHGARNER, INC.",0001067983,subsidiary,1,25612.0,25612.0
04-2023-3007,2023,"AUTOZONE PARTS, INC",0000866787,subsidiary,1,25200.0,25200.0
04-2018-4003,2018,"ECOFLO, INC.",0001060391,subsidiary,1,25200.0,25200.0
03-2009-7004,2019,OCCIDENTAL CHEMICAL CORPORATION,0000797468,subsidiary,27,676000.0,25037.037037037036
03-2009-7004,2019,UNION CARBIDE CORPORATION,0001751788,subsidiary,27,676000.0,25037.037037037036
03-2009-7004,2019,NEWS CORPORATION AUSTRALIA LIMITED,0001564708,subsidiary,27,676000.0,25037.037037037036
03-2009-7004,2019,"HONEYWELL INTERNATIONAL, INC",0000773840,name,27,676000.0,25037.037037037036
05-2019-5037,2019,EQUISTAR CHEMICALS,0001489393,subsidiary,1,25000.0,25000.0
09-2020-0619,2020,"FL Transportation, Inc.",0000077476,subsidiary,1,24375.0,24375.0
07-2017-0049,2017,UNION PACIFIC RAILROAD COMPANY,0000100885,subsidiary,1,24000.0,24000.0
06-2023-4805,2023,Valero Energy Corporation,0001035002,name,2,47100.0,23550.0
08-2017-0003,2016,Noble Energy Inc,0000093410,subsidiary,1,23136.0,23136.0
03-2025-0100,2025,BECTON DICKINSON AND COMPANY,0000010795,name,1,23091.0,23091.0
05-2021-9906,2021,"Home Depot U.S.A., Inc.",0000354950,subsidiary,1,22944.0,22944.0
06-2016-0952,2016,"The Ritz-Carlton Hotel Company, L.L.C.",0001048286,subsidiary,1,22660.0,22660.0
06-2017-3342,2017,Discovery Producer Services LLC,0000107263,subsidiary,1,22491.0,22491.0
01-2020-7001,2020,BATH IRON WORKS CORPORATION,0000040533,subsidiary,1,22479.0,22479.0
06-2023-4806,2023,"Valero Refining ï¿½ Meraux, LLC",0001035002,subsidiary,2,42300.0,21150.0
04-2016-4505,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,42023.0,21011.5
03-2017-0174,2017,"ENLINK MIDSTREAM OPERATING, LP",0001039684,subsidiary,2,40741.0,20370.5
05-2017-9905,2017,"TEXTRON AVIATION,INC.",0000217346,subsidiary,1,20175.0,20175.0
10-2024-0045,2024,WALMART,0000104169,name,1,20000.0,20000.0
06-2023-0944,2023,US Ecology Tulsa,0001060391,subsidiary,1,20000.0,20000.0
03-2017-0109,2017,"SUPERIOR CONCRETE MATERIALS, INC.",0001396009,subsidiary,1,20000.0,20000.0
10-2025-0110,2025,HONEYWELL,0000773840,subsidiary,1,20000.0,20000.0
10-2025-0068,2025,WALMART,0000104169,name,1,20000.0,20000.0
07-2021-0047,2021,"O'Reilly Automotive, Inc.",0000898173,name,1,19793.0,19793.0
06-2022-0929,2022,International Paper Company,0000051434,name,1,19727.2,19727.2
10-2016-0103,2016,MicroConnex,0000820313,subsidiary,1,19145.0,19145.0
04-2019-8005,2019,"TYSON FRESH MEATS, INC.",0000100493,subsidiary,1,18195.0,18195.0
06-2023-0939,2023,Lyondell Chemical company,0001489393,subsidiary,1,17500.0,17500.0
07-2024-0113,2024,"Walmart, Inc.",0000104169,name,1,17078.0,17078.0
06-2019-0941,2019,Laboratory Corporation of America,0000920148,name,1,16995.0,16995.0
02-2023-3352,2022,Bellagio LLC,0000789570,subsidiary,1,16680.0,16680.0
04-2019-2900,2019,ALABAMA POWER,0000092122,subsidiary,1,16268.0,16268.0
02-2025-7201,2025,Patheon Puerto Rico Inc.,0000097745,subsidiary,1,16250.0,16250.0
06-2018-4808,2018,The Lubrizol Corporation,0001067983,subsidiary,2,32343.0,16171.5
09-2023-5076,2023,"Integrated DNA Technologies, Inc",0000313616,subsidiary,1,15890.0,15890.0
04-2016-4520,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,31035.0,15517.5
04-2016-4511,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,30634.0,15317.0
03-2016-0045,2016,"WILLIAMS OHIO VALLEY MIDSTREAM, LLC",0000107263,subsidiary,1,14440.0,14440.0
06-2020-0978,2020,Lockheed Martin Corporation,0000936468,name,1,14000.0,14000.0
04-2016-4508,2016,"STANDARD PACIFIC OF FLORIDA, GP, INC.",0000920760,subsidiary,2,27560.0,13780.0
04-2015-2034,2016,"BOTTLING GROUP, LLC",0000077476,subsidiary,1,13405.0,13405.0
10-2024-0017,2024,"Ennis-Flint, Inc.",0000079879,subsidiary,1,12750.0,12750.0
05-2022-7589,2022,"JENNIE-O TURKEY STORE, INC.",0000048465,subsidiary,1,12720.0,12720.0
03-2025-0099,2025,BECTON DICKINSON AND COMPANY,0000010795,name,1,12612.0,12612.0
05-2016-7385,2016,"Cincinnati Renewable Fuels, LLC",0001510295,subsidiary,1,12500.0,12500.0
06-2023-0955,2023,Ash Grove Cement Company,0000849395,subsidiary,1,12500.0,12500.0
10-2022-0191,2022,"Microchip Technology, Inc.",0000827054,name,1,12500.0,12500.0
03-2022-0035,2022,THE SHERWIN WILLIAMS CO.,0000089800,name,1,12500.0,12500.0
04-2016-2015,2016,"MONDELEZ GLOBAL, LLC",0001103982,subsidiary,1,12480.0,12480.0
04-2016-4516,2016,"STANDARD PACIFIC OF TAMPA GP, INC.",0000920760,subsidiary,2,24850.0,12425.0
07-2023-0094,2023,"Waste Management of Nebraska, Inc.",0000823768,subsidiary,1,12078.0,12078.0
05-2023-7794,2023,HORMEL FOODS,0000048465,name,1,11846.0,11846.0
01-2024-1009,2024,"Clean Venture, Inc.",0001060391,subsidiary,1,11663.0,11663.0
05-2022-9901,2021,PPG Industries,0000079879,name,1,11472.0,11472.0
04-2016-2002,2016,SYMETRICS INDUSTRIES LLC,0001260221,subsidiary,1,10780.0,10780.0
