ticker,year,co2e_tonnes,revenue_usd,raw_ratio
CHTR,2020,0.0,48097000000.0,0.0
CHTR,2021,0.0,51682000000.0,0.0
CHTR,2022,0.0,54022000000.0,0.0
CHTR,2023,0.0,54607000000.0,0.0
CI,2018,0.0,48650000000.0,0.0
CI,2019,0.0,153566000000.0,0.0
CI,2020,0.0,160401000000.0,0.0
CI,2021,0.0,174069000000.0,0.0
CI,2022,0.0,180518000000.0,0.0
CI,2023,0.0,195265000000.0,0.0
CIEN,2018,0.0,3094286000.0,0.0
CIEN,2019,0.0,3572131000.0,0.0
CIEN,2020,0.0,3532157000.0,0.0
CIEN,2021,0.0,3620684000.0,0.0
CIEN,2022,0.0,3632661000.0,0.0
CIEN,2023,0.0,4386549000.0,0.0
CINF,2018,0.0,5407000000.0,0.0
CINF,2019,0.0,7924000000.0,0.0
CINF,2020,0.0,7536000000.0,0.0
CINF,2021,0.0,9626000000.0,0.0
CINF,2022,0.0,6563000000.0,0.0
CINF,2023,0.0,10013000000.0,0.0
CL,2018,0.0,15544000000.0,0.0
CL,2019,0.0,15693000000.0,0.0
CL,2020,0.0,16471000000.0,0.0
CL,2021,0.0,17421000000.0,0.0
CL,2022,0.0,17967000000.0,0.0
CL,2023,0.0,19457000000.0,0.0
CLX,2018,0.0,6124000000.0,0.0
CLX,2019,0.0,6214000000.0,0.0
CLX,2020,0.0,6721000000.0,0.0
CLX,2021,0.0,7341000000.0,0.0
CLX,2022,0.0,7107000000.0,0.0
CLX,2023,0.0,7389000000.0,0.0
CMCSA,2018,0.0,94507000000.0,0.0
CMCSA,2019,0.0,108942000000.0,0.0
CMCSA,2020,0.0,103564000000.0,0.0
CMCSA,2021,0.0,116385000000.0,0.0
CMCSA,2022,0.0,121427000000.0,0.0
CMCSA,2023,0.0,121572000000.0,0.0
CME,2018,0.0,4309400000.0,0.0
CME,2019,0.0,4868000000.0,0.0
CME,2020,0.0,4883600000.0,0.0
CME,2021,0.0,4689700000.0,0.0
CME,2022,0.0,5019400000.0,0.0
CME,2023,0.0,5578900000.0,0.0
CMG,2018,0.0,4864985000.0,0.0
CMG,2019,0.0,5586369000.0,0.0
CMG,2020,0.0,5984634000.0,0.0
CMG,2021,0.0,7547061000.0,0.0
CMG,2022,0.0,8634652000.0,0.0
CMG,2023,0.0,9871649000.0,0.0
CMI,2018,0.0,23771000000.0,0.0
CMI,2019,0.0,23571000000.0,0.0
CMI,2020,0.0,19811000000.0,0.0
CMI,2021,0.0,24021000000.0,0.0
CMI,2022,0.0,28074000000.0,0.0
CMI,2023,0.0,34065000000.0,0.0
CMS,2018,16794800.7835152,6502000000.0,2583.020729547093
CMS,2019,17056198.916754,6624000000.0,2574.9092567563407
CMS,2020,14926679.343801599,6418000000.0,2325.752468650919
CMS,2021,17602500.1795372,7329000000.0,2401.7601554833127
CMS,2022,17728563.904212,8596000000.0,2062.420184296417
CMS,2023,17253086.5512564,7462000000.0,2312.1263134891988
CNC,2018,0.0,56435000000.0,0.0
CNC,2019,0.0,74639000000.0,0.0
